TEASPOON;Çay Kaşığı;Çay Kaşığı
TABLESPOON;Yemek Kaşığı;Yemek Kaşığı
PINT;Yarım Litre;Yarım Litre
QUART;Çeyrek;Çeyrek
GALON;Galon;Galon
LITERS;Litre;Litre
MILLILITERS;Mililitre;Mililitre
DECILITER;Desilitre;Desilitre
GRAM;Gram;Gram
OUNCE;Bir Parça;Bir Parça
POUND;Pound;Pound
MILLIGRAM;Miligram;Miligram
KILOGRAM;Kilogram;Kilogram
PIECES;Adet;Adet
KCAL;Kalori;Kalori
UNDEF;;;
